町名,よみ,グループ
青崎一丁目,あおさき1ちょうめ,10
青崎二丁目,あおさき2ちょうめ,10
旭一丁目,あさひ1ちょうめ,16
旭二丁目,あさひ2ちょうめ,16
旭三丁目,あさひ3ちょうめ,16
稲荷町,いなりまち,2
宇品海岸一丁目,うじなかいがん1ちょうめ,8
宇品海岸二丁目,うじなかいがん2ちょうめ,7
宇品海岸三丁目,うじなかいがん3ちょうめ,7
宇品神田一丁目,うじなかんだ1ちょうめ,4
宇品神田二丁目,うじなかんだ2ちょうめ,4
宇品神田三丁目,うじなかんだ3ちょうめ,7
宇品神田四丁目,うじなかんだ4ちょうめ,7
宇品神田五丁目,うじなかんだ5ちょうめ,7
宇品西一丁目,うじなにし1ちょうめ,8
宇品西二丁目,うじなにし2ちょうめ,8
宇品西三丁目,うじなにし3ちょうめ,8
宇品西四丁目,うじなにし4ちょうめ,8
宇品西五丁目,うじなにし5ちょうめ,8
宇品西六丁目,うじなにし6ちょうめ,8
宇品東一丁目,うじなひがし1ちょうめ,4
宇品東二丁目,うじなひがし2ちょうめ,4
宇品東三丁目,うじなひがし3ちょうめ,4
宇品東四丁目,うじなひがし4ちょうめ,7
宇品東五丁目,うじなひがし5ちょうめ,7
宇品東六丁目,うじなひがし6ちょうめ,7
宇品東七丁目,うじなひがし7ちょうめ,7
宇品御幸一丁目,うじなみゆき1ちょうめ,9
宇品御幸二丁目,うじなみゆき2ちょうめ,9
宇品御幸三丁目,うじなみゆき3ちょうめ,9
宇品御幸四丁目,うじなみゆき4ちょうめ,7
宇品御幸五丁目,うじなみゆき5ちょうめ,7
猿猴橋町,えんこうばしちょう,6
黄金山町,おうごんざんちょう,15
大州一丁目,おおず1ちょうめ,14
大州二丁目,おおず2ちょうめ,6
大州三丁目,おおず3ちょうめ,6
大州四丁目,おおず4ちょうめ,6
大州五丁目,おおず5ちょうめ,14
大須賀町,おおすがちょう,6
霞一丁目,かすみ1ちょうめ,1
霞二丁目,かすみ2ちょうめ,1
上東雲町,かみしののめちょう,11
北大河町,きたおおこうちょう,16
京橋町,きょうばしちょう,2
金屋町,きんやちょう,2
楠那町,くすなちょう,17
小磯町,こいそちょう,10
荒神町,こうじんまち,6
東雲一丁目,しののめ1ちょうめ,12
東雲二丁目,しののめ2ちょうめ,12
東雲三丁目,しののめ3ちょうめ,12
東雲本町１丁目,しののめほんまち1ちょうめ,2
東雲本町二丁目,しののめほんまち2ちょうめ,11
東雲本町三丁目,しののめほんまち3ちょうめ,13
丹那新町,たんなしんまち,15
丹那町,たんなちょう,15
段原一丁目,だんばら1ちょうめ,5
段原二丁目,だんばら2ちょうめ,5
段原三丁目,だんばら3ちょうめ,5
段原四丁目,だんばら4ちょうめ,5
段原日出一丁目,だんばらひので1ちょうめ,2
段原日出二丁目,だんばらひので2ちょうめ,2
段原南一丁目,だんばらみなみ1ちょうめ,2
段原南二丁目,だんばらみなみ2ちょうめ,5
