"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
2021-04-01,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-04-02,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-04-03,"土",,,,,,,,,,,,,,,,,
2021-04-04,"日",,,,,,,,,,,,,,,,,
2021-04-05,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-04-06,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-04-07,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-04-08,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-04-09,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-04-10,"土",,,,,,,,,,,,,,,,,
2021-04-11,"日",,,,,,,,,,,,,,,,,
2021-04-12,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-04-13,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-04-14,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-04-15,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
